chart_date,country,country_name,chart_source,rank,rank_change,track_id,track_name,artist_ids,artist_names,artist_names_text,days_on_chart,peak_rank,peak_count_text,streams,streams_change,streams_7day,streams_7day_change,streams_total,kworb_track_url
2026-07-10,IT,Italy,kworb_spotify_daily,1,RE,3d56FH7ZlHf9tjojZSwv8U,WHITE GIRL WASTED,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,21,1,(x1),345209,,1259277,142089,4092424,https://kworb.net/spotify/track/3d56FH7ZlHf9tjojZSwv8U.html
2026-07-10,IT,Italy,kworb_spotify_daily,2,NEW,4uzXo3sUkY7xXelBvj1L7A,MILLION DOLLAR BABE,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,2,(x1),328240,,328240,328240,328240,https://kworb.net/spotify/track/4uzXo3sUkY7xXelBvj1L7A.html
2026-07-10,IT,Italy,kworb_spotify_daily,3,-2,3WL6jUG9qR8rhOOVlD51JE,CANZONE D'AMORE,"[""27LlKWxS3KXW7RRAxN5S8s""]","[""Geolier""]",Geolier,176,1,(x14),321393,19846,2136122,-55859,39988504,https://kworb.net/spotify/track/3WL6jUG9qR8rhOOVlD51JE.html
2026-07-10,IT,Italy,kworb_spotify_daily,4,NEW,2qPmfC6698p228q3F1Zlbk,SONO IO IL PASS,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,4,,295594,,295594,295594,295594,https://kworb.net/spotify/track/2qPmfC6698p228q3F1Zlbk.html
2026-07-10,IT,Italy,kworb_spotify_daily,5,-3,63vgQs2pr8e0fU10Jp2MrW,OSSESSIONE,"[""2n0Ki4A5tKTEloq3WCt1IH"", ""2QJ1AReDewmz4fcRhGxW6Y""]","[""Samurai Jay"", ""Vito Salamanca""]","Samurai Jay, Vito Salamanca",51,1,(x16),284904,21482,1854614,-11098,15377755,https://kworb.net/spotify/track/63vgQs2pr8e0fU10Jp2MrW.html
2026-07-10,IT,Italy,kworb_spotify_daily,6,NEW,40UibIQfdcyLJDgfDDA2MR,SCONTROSA,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,6,,265995,,265995,265995,265995,https://kworb.net/spotify/track/40UibIQfdcyLJDgfDDA2MR.html
2026-07-10,IT,Italy,kworb_spotify_daily,7,NEW,3nZ1pM1DxcfAAf9QxIhnpo,SAFARI,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,7,,252785,,252785,252785,252785,https://kworb.net/spotify/track/3nZ1pM1DxcfAAf9QxIhnpo.html
2026-07-10,IT,Italy,kworb_spotify_daily,8,-5,3QGY1Tr2MePboAxYtsdbn4,SWAG MUSIC,"[""2R4kNOwHUUsuDYhKsESVbF""]","[""Artie 5ive""]",Artie 5ive,57,1,(x18),246654,11821,1668849,-18480,16545284,https://kworb.net/spotify/track/3QGY1Tr2MePboAxYtsdbn4.html
2026-07-10,IT,Italy,kworb_spotify_daily,9,-2,16lyLmCVYv9Tvj6iGXKAAm,Da Dio,"[""7FeObngbQ0GY3SojNwKdKn""]","[""Bresh""]",Bresh,57,6,,236954,25569,1444758,19433,10990681,https://kworb.net/spotify/track/16lyLmCVYv9Tvj6iGXKAAm.html
2026-07-10,IT,Italy,kworb_spotify_daily,10,NEW,2MBfz73GRofl4nPbCcIr6L,DON'T TELL NOBODY,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,10,,231135,,231135,231135,231135,https://kworb.net/spotify/track/2MBfz73GRofl4nPbCcIr6L.html
2026-07-10,IT,Italy,kworb_spotify_daily,11,-7,5k5scIRaBAJStJF1xWCqgc,LA TESTA GIRA,"[""0QrUbsrL5imqntAfDl8i7q"", ""7FNnA9vBm6EKceENgCGRMb"", ""6FtwCmLY6L1sqvjaQ2lV6G""]","[""Fred De Palma"", ""Anitta"", ""Emis Killa""]","Fred De Palma, Anitta, Emis Killa",106,3,(x13),230137,14263,1554229,-14292,21351142,https://kworb.net/spotify/track/5k5scIRaBAJStJF1xWCqgc.html
2026-07-10,IT,Italy,kworb_spotify_daily,12,-4,1WitbPTd3SjoUJOWobxzVF,Bad Bad Bad,"[""2K5nCggbhSZ00YCYP5qkZS"", ""27LlKWxS3KXW7RRAxN5S8s""]","[""Shiva"", ""Geolier""]","Shiva, Geolier",92,1,(x1),221499,10164,1498835,-18927,25213515,https://kworb.net/spotify/track/1WitbPTd3SjoUJOWobxzVF.html
2026-07-10,IT,Italy,kworb_spotify_daily,13,-8,3xPMN6Ojy4uV0jicQf5dYZ,AYAYAY,"[""23TFHmajVfBtlRx5MXqgoz"", ""1cKyknhftNKXCjMBd2hDrG""]","[""Sfera Ebbasta"", ""DYSTINCT""]","Sfera Ebbasta, DYSTINCT",36,5,,220265,6211,1418557,5894,7422771,https://kworb.net/spotify/track/3xPMN6Ojy4uV0jicQf5dYZ.html
2026-07-10,IT,Italy,kworb_spotify_daily,14,NEW,55wR6hA738HnTk4F1z23oR,HONEY,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,14,,220231,,220231,220231,220231,https://kworb.net/spotify/track/55wR6hA738HnTk4F1z23oR.html
2026-07-10,IT,Italy,kworb_spotify_daily,15,-9,3jG1o72wNvvjQn2kDoNsIu,ROMANTICA,"[""3hN3iJMbbBmqBSAMx5veDa""]","[""Ultimo""]",Ultimo,50,2,(x1),208466,-3842,1410382,34325,9028071,https://kworb.net/spotify/track/3jG1o72wNvvjQn2kDoNsIu.html
2026-07-10,IT,Italy,kworb_spotify_daily,16,NEW,4dB88qTUCkjYQn0ZxIZCuW,CATALANO,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,16,,205793,,205793,205793,205793,https://kworb.net/spotify/track/4dB88qTUCkjYQn0ZxIZCuW.html
2026-07-10,IT,Italy,kworb_spotify_daily,17,NEW,6mwHTWc7bdlBsiR6s6QFGl,CUORE IN OFF,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,17,,199435,,199435,199435,199435,https://kworb.net/spotify/track/6mwHTWc7bdlBsiR6s6QFGl.html
2026-07-10,IT,Italy,kworb_spotify_daily,18,-9,6S9jhAReGPzub7RkRbv8HM,2 GIORNI DI FILA,"[""27LlKWxS3KXW7RRAxN5S8s"", ""23TFHmajVfBtlRx5MXqgoz"", ""7K80yOTC0Id95gRaOxDG5u""]","[""Geolier"", ""Sfera Ebbasta"", ""ANNA""]","Geolier, Sfera Ebbasta, ANNA",176,1,(x14),190741,4776,1256120,-26187,37054651,https://kworb.net/spotify/track/6S9jhAReGPzub7RkRbv8HM.html
2026-07-10,IT,Italy,kworb_spotify_daily,19,-9,4uDzwzT9vjM6pUnhxmClxK,AL MIO PAESE,"[""7108jelN43seqWILMvJwKi"", ""5mTg1ztZByLRHsOEtwmT4G"", ""0BjRnUqiITQwjqGtTeoxUS""]","[""Serena Brancale"", ""Levante"", ""DELIA""]","Serena Brancale, Levante, DELIA",99,4,,189913,9669,1290026,-2740,16837956,https://kworb.net/spotify/track/4uDzwzT9vjM6pUnhxmClxK.html
2026-07-10,IT,Italy,kworb_spotify_daily,20,NEW,3nWODsWETh5zUu3sLuJ2kv,CRYSTAL COLLO,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,20,,180041,,180041,180041,180041,https://kworb.net/spotify/track/3nWODsWETh5zUu3sLuJ2kv.html
2026-07-10,IT,Italy,kworb_spotify_daily,21,-9,6bdTp8Jkp3IAU15rVPWFuJ,DAVVERODAVVERO,"[""2R4kNOwHUUsuDYhKsESVbF""]","[""Artie 5ive""]",Artie 5ive,210,2,(x6),173412,14169,1081838,6104,32777845,https://kworb.net/spotify/track/6bdTp8Jkp3IAU15rVPWFuJ.html
2026-07-10,IT,Italy,kworb_spotify_daily,22,-9,0y7D9JFF6APyFc18atzG9n,Splinter Cell,"[""1dlyjeDlgXalzt5oqbgWDs"", ""2ifTEcQqKSPwijIEcPHQ1R"", ""38CThoTDmXugNnfonW466d"", ""1l1A1U8VJM15W7zonFqKhg""]","[""G.Mineiro"", ""Flatpearl"", ""Jiz"", ""Succo""]","G.Mineiro, Flatpearl, Jiz, Succo",46,6,,171109,12255,1137023,-9115,7930709,https://kworb.net/spotify/track/0y7D9JFF6APyFc18atzG9n.html
2026-07-10,IT,Italy,kworb_spotify_daily,23,-12,6Y1SibRCnVlbaa7dS8slzr,Sorry Scusa Lo Siento,"[""6RdcIWVKYYzNzjQRd3oyHS""]","[""Pinguini Tattici Nucleari""]",Pinguini Tattici Nucleari,57,2,(x1),170736,7785,1152102,-7887,10461749,https://kworb.net/spotify/track/6Y1SibRCnVlbaa7dS8slzr.html
2026-07-10,IT,Italy,kworb_spotify_daily,24,-10,3CaLAEZ5u8PEiylYQVIv10,Obsessed,"[""2K5nCggbhSZ00YCYP5qkZS"", ""7K80yOTC0Id95gRaOxDG5u""]","[""Shiva"", ""ANNA""]","Shiva, ANNA",92,2,(x16),165639,6942,1117865,-9916,23632866,https://kworb.net/spotify/track/3CaLAEZ5u8PEiylYQVIv10.html
2026-07-10,IT,Italy,kworb_spotify_daily,25,-10,2n4L2a5xgpJmPdLzDl3mE6,Maladie,"[""51OKuyM4BiiYxFm8Mi6fa9""]","[""Mauvais djo""]",Mauvais djo,65,14,,161452,13185,1054126,-5350,9263508,https://kworb.net/spotify/track/2n4L2a5xgpJmPdLzDl3mE6.html
2026-07-10,IT,Italy,kworb_spotify_daily,26,NEW,3bFUhrjNmC3179e2R5lqjp,VELENO,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,26,,158684,,158684,158684,158684,https://kworb.net/spotify/track/3bFUhrjNmC3179e2R5lqjp.html
2026-07-10,IT,Italy,kworb_spotify_daily,27,-7,0kosUz0jePvjiz4ctmR6wL,Dai Dai,"[""0EmeFodog0BfCgMzAIvKQp"", ""3wcj11K77LjEY1PkEazffa""]","[""Shakira"", ""Burna Boy""]","Shakira, Burna Boy",30,18,,154011,14731,988031,5917,3401862,https://kworb.net/spotify/track/0kosUz0jePvjiz4ctmR6wL.html
2026-07-10,IT,Italy,kworb_spotify_daily,28,-10,7aNsNTpMq7D4fffUiYKXNR,Giovani Re,"[""23TFHmajVfBtlRx5MXqgoz""]","[""Sfera Ebbasta""]",Sfera Ebbasta,194,9,,152495,9805,893479,28016,24123879,https://kworb.net/spotify/track/7aNsNTpMq7D4fffUiYKXNR.html
2026-07-10,IT,Italy,kworb_spotify_daily,29,-7,5zEcbencrcP0p5Z8508vWz,Talk To You (ft. 54 Ultra),"[""4p5WgeiPSPpqPDs7T6OkWf""]","[""ANOTR""]",ANOTR,29,16,,152132,14279,966513,4380,4009908,https://kworb.net/spotify/track/5zEcbencrcP0p5Z8508vWz.html
2026-07-10,IT,Italy,kworb_spotify_daily,30,-13,3JjyzXQ07ODREBhJknQgLS,Canto d’amore (con Marco Mengoni),"[""1A6HBLulvBFzNtlMb7b08f"", ""3xGlLcG9CUrs5MvFkSLOS5""]","[""Angelina Mango"", ""Marco Mengoni""]","Angelina Mango, Marco Mengoni",29,15,,151233,6752,1033318,-15688,3695090,https://kworb.net/spotify/track/3JjyzXQ07ODREBhJknQgLS.html
2026-07-10,IT,Italy,kworb_spotify_daily,31,NEW,4D1aJZlCbzptGSDsyV1qVo,BENIHANA,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,31,,149701,,149701,149701,149701,https://kworb.net/spotify/track/4D1aJZlCbzptGSDsyV1qVo.html
2026-07-10,IT,Italy,kworb_spotify_daily,32,NEW,3Bi5pa92S8MUZkhuwfmCUQ,U LIKE ME,"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,32,,149045,,149045,149045,149045,https://kworb.net/spotify/track/3Bi5pa92S8MUZkhuwfmCUQ.html
