chart_date,country,country_name,chart_source,rank,rank_change,track_id,track_name,artist_ids,artist_names,artist_names_text,days_on_chart,peak_rank,peak_count_text,streams,streams_change,streams_7day,streams_7day_change,streams_total,kworb_track_url
2026-07-10,IT,Italy,kworb_spotify_daily,33,-6,549DrPfwUQuZB3q53WQh1z,FLAMENCO PARANOIA,"[""2n0Ki4A5tKTEloq3WCt1IH"", ""2QJ1AReDewmz4fcRhGxW6Y""]","[""Samurai Jay"", ""Vito Salamanca""]","Samurai Jay, Vito Salamanca",50,21,,148637,25110,896287,9835,5104861,https://kworb.net/spotify/track/549DrPfwUQuZB3q53WQh1z.html
2026-07-10,IT,Italy,kworb_spotify_daily,34,-15,3I9z79CW67VLa4wCH3dkhQ,AUTORITÀ,"[""27LlKWxS3KXW7RRAxN5S8s""]","[""Geolier""]",Geolier,37,1,(x1),146001,3545,1020826,-20195,6609494,https://kworb.net/spotify/track/3I9z79CW67VLa4wCH3dkhQ.html
2026-07-10,IT,Italy,kworb_spotify_daily,35,NEW,3WHGTXMRVYZumkDVokfk56,HOT POT (interlude),"[""7K80yOTC0Id95gRaOxDG5u""]","[""ANNA""]",ANNA,1,35,,145345,,145345,145345,145345,https://kworb.net/spotify/track/3WHGTXMRVYZumkDVokfk56.html
2026-07-10,IT,Italy,kworb_spotify_daily,36,-12,6iOndD4OFo7GkaDypWQIou,La Plena - W Sound 05,"[""5uwa6tAMMfNbBFIHiI6NV4"", ""7a0XAaPaK2aDSqa8p3QnC7"", ""3m5qlPf2OkihLz3dRYnkPA""]","[""W Sound"", ""Beéle"", ""Ovy On The Drums""]","W Sound, Beéle, Ovy On The Drums",466,1,(x13),145256,14144,932022,1496,90141815,https://kworb.net/spotify/track/6iOndD4OFo7GkaDypWQIou.html
2026-07-10,IT,Italy,kworb_spotify_daily,37,-16,77uiPp5CwS14DPThQSLsNs,QUANDO DORME LA CITTÀ,"[""3hN3iJMbbBmqBSAMx5veDa""]","[""Ultimo""]",Ultimo,22,19,,141941,3627,866886,41545,2128170,https://kworb.net/spotify/track/77uiPp5CwS14DPThQSLsNs.html
2026-07-10,IT,Italy,kworb_spotify_daily,38,-22,0P0GZSQTYSdCPzQar8Rbqf,ACQUARIO,"[""3hN3iJMbbBmqBSAMx5veDa""]","[""Ultimo""]",Ultimo,183,2,(x1),141596,-4852,958874,15828,19708078,https://kworb.net/spotify/track/0P0GZSQTYSdCPzQar8Rbqf.html
2026-07-10,IT,Italy,kworb_spotify_daily,39,-11,53GaYNLUejzouMIDRaukD1,Cabana,"[""5iot8OPcosJN9nCl7I5SdK""]","[""Irama""]",Irama,53,22,,138222,16569,880454,-130,4604540,https://kworb.net/spotify/track/53GaYNLUejzouMIDRaukD1.html
2026-07-10,IT,Italy,kworb_spotify_daily,40,-14,0TJYJrUDKQ1btt4g0Xwklw,LA GRACIOSA,"[""52iwsT98xCoGgiGntTiR7K"", ""1c22GXH30ijlOfXhfLz9Df""]","[""Quevedo"", ""Elvis Crespo""]","Quevedo, Elvis Crespo",61,20,,137841,12155,900244,-7999,5442726,https://kworb.net/spotify/track/0TJYJrUDKQ1btt4g0Xwklw.html
2026-07-10,IT,Italy,kworb_spotify_daily,41,-18,5ukcsJ6xFum4aGyd4s2clw,STELLE,"[""27LlKWxS3KXW7RRAxN5S8s""]","[""Geolier""]",Geolier,176,4,,136376,2490,970300,-18899,21884002,https://kworb.net/spotify/track/5ukcsJ6xFum4aGyd4s2clw.html
2026-07-10,IT,Italy,kworb_spotify_daily,42,-17,6UrPST46XxYPqbAAThhSMS,VOLEVO CAPIRE CON MARRACASH,"[""1vgQksyJ0IVz8y9XerEOy3"", ""5AZuEF0feCXMkUCwQiQlW7""]","[""Madame"", ""Marracash""]","Madame, Marracash",85,12,,129856,3527,866629,-5545,10904771,https://kworb.net/spotify/track/6UrPST46XxYPqbAAThhSMS.html
2026-07-10,IT,Italy,kworb_spotify_daily,43,-8,4oYTKjG6JYD0Fn8xxAZy2w,BUONA DOMENICA,"[""3HAwumPgGOSXlZSyGWuLhB""]","[""Sayf""]",Sayf,93,18,,128467,17567,782567,11038,7383512,https://kworb.net/spotify/track/4oYTKjG6JYD0Fn8xxAZy2w.html
2026-07-10,IT,Italy,kworb_spotify_daily,44,-15,5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,"[""4q3ewBCX7sLwd24euuV69X""]","[""Bad Bunny""]",Bad Bunny,551,2,(x11),128179,7686,845802,-1704,74691254,https://kworb.net/spotify/track/5TFD2bmFKGhoCRbX61nXY5.html
2026-07-10,IT,Italy,kworb_spotify_daily,45,-12,7e4zDInS6tA2jwzphvs2Ay,Jamaican (Bam Bam),"[""5PlfkPxwCpRRWQJBxCa0By"", ""0F3tUZeb9dLNEpxCpzEBQt""]","[""HUGEL"", ""SOLTO (FR)""]","HUGEL, SOLTO (FR)",99,24,,126057,11936,810650,45,7979086,https://kworb.net/spotify/track/7e4zDInS6tA2jwzphvs2Ay.html
2026-07-10,IT,Italy,kworb_spotify_daily,46,-14,3sK8wGT43QFpWrvNQsrQya,DtMF,"[""4q3ewBCX7sLwd24euuV69X""]","[""Bad Bunny""]",Bad Bunny,549,1,(x24),122102,5208,815157,-5690,90047391,https://kworb.net/spotify/track/3sK8wGT43QFpWrvNQsrQya.html
2026-07-10,IT,Italy,kworb_spotify_daily,47,-16,6QFCMUUq1T2Vf5sFUXcuQ7,Beauty And A Beat,"[""1uNFoZAHBGtllmzznpCI3s"", ""0hCNtLu0JehylgoiP8L4Gh""]","[""Justin Bieber"", ""Nicki Minaj""]","Justin Bieber, Nicki Minaj",90,3,(x2),121967,4875,813933,-8190,15953345,https://kworb.net/spotify/track/6QFCMUUq1T2Vf5sFUXcuQ7.html
2026-07-10,IT,Italy,kworb_spotify_daily,48,-14,7vc09IDmFH0MfyPYHPEWRM,AMOR,"[""0lI3rF4hi4op6UxqlLHPzv""]","[""Achille Lauro""]",Achille Lauro,449,5,,120712,7290,809517,-1483,71760772,https://kworb.net/spotify/track/7vc09IDmFH0MfyPYHPEWRM.html
2026-07-10,IT,Italy,kworb_spotify_daily,49,-13,1VX2LLBpUPS2QJVou4WGz3,Questa domenica,"[""25u1DN0MwQVSav4XoJS7hl"", ""4rj3KWaLAnuxgtMMkypZhf""]","[""Olly"", ""Juli""]","Olly, Juli",317,1,(x38),118158,8728,787963,-3462,62403220,https://kworb.net/spotify/track/1VX2LLBpUPS2QJVou4WGz3.html
2026-07-10,IT,Italy,kworb_spotify_daily,50,-20,5vdmfjy5CVrV0xYEcO2f4Q,Buon Vento,"[""7tmMPdOmFvdRvbj2aWoiRi"", ""7GacyaFUp0qkEJglERX9N7""]","[""Jovanotti"", ""Alfa""]","Jovanotti, Alfa",50,23,,117208,-20,822958,-10035,5802140,https://kworb.net/spotify/track/5vdmfjy5CVrV0xYEcO2f4Q.html
2026-07-10,IT,Italy,kworb_spotify_daily,51,-12,4qW3BbQAwZsrnu8a3ZRdyT,Self Aware,"[""5mHUmlJWkcoOk1NbjfrXWz""]","[""Temper City""]",Temper City,94,35,,112082,4824,731680,3281,8263205,https://kworb.net/spotify/track/4qW3BbQAwZsrnu8a3ZRdyT.html
2026-07-10,IT,Italy,kworb_spotify_daily,52,-14,3yaRrdo3DDeKgDaubuBsId,Cantilene,"[""4rj3KWaLAnuxgtMMkypZhf"", ""25u1DN0MwQVSav4XoJS7hl""]","[""Juli"", ""Olly""]","Juli, Olly",78,5,,111987,4546,756428,-12457,10343214,https://kworb.net/spotify/track/3yaRrdo3DDeKgDaubuBsId.html
2026-07-10,IT,Italy,kworb_spotify_daily,53,-5,7i0zYckMTyvLyKAFxfOKIS,SOGNO AMERICANO,"[""2R4kNOwHUUsuDYhKsESVbF""]","[""Artie 5ive""]",Artie 5ive,470,1,(x5),109829,13164,663519,15083,62321480,https://kworb.net/spotify/track/7i0zYckMTyvLyKAFxfOKIS.html
2026-07-10,IT,Italy,kworb_spotify_daily,54,-9,28v57vssZ488EEIBivY3NF,Ogni Male,"[""5SulO4l40qDuV9zUGLZx7n""]","[""Capo Plaza""]",Capo Plaza,253,17,,109193,8487,690669,-1344,19722481,https://kworb.net/spotify/track/28v57vssZ488EEIBivY3NF.html
2026-07-10,IT,Italy,kworb_spotify_daily,55,-13,2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,"[""4q3ewBCX7sLwd24euuV69X""]","[""Bad Bunny""]",Bad Bunny,547,3,(x2),108646,6422,703442,-448,50393391,https://kworb.net/spotify/track/2lTm559tuIvatlT1u0JYG2.html
2026-07-10,IT,Italy,kworb_spotify_daily,56,-16,0jkAr7eZsvWDLYiQCfaxak,NEON,"[""23TFHmajVfBtlRx5MXqgoz"", ""2K5nCggbhSZ00YCYP5qkZS""]","[""Sfera Ebbasta"", ""Shiva""]","Sfera Ebbasta, Shiva",456,1,(x26),107792,2898,631477,20899,88299368,https://kworb.net/spotify/track/0jkAr7eZsvWDLYiQCfaxak.html
2026-07-10,IT,Italy,kworb_spotify_daily,57,-20,0HS9jzQvqyEyVLuo7sskFO,Stupida sfortuna,"[""1QeqGmpgU5Yg74GNcjIIq3""]","[""Fulminacci""]",Fulminacci,136,3,(x1),106587,-2682,752876,-9709,26154257,https://kworb.net/spotify/track/0HS9jzQvqyEyVLuo7sskFO.html
2026-07-10,IT,Italy,kworb_spotify_daily,58,-11,5ZliWdrEfiHceXVGnGzlxA,Serenamente,"[""4rj3KWaLAnuxgtMMkypZhf"", ""7FeObngbQ0GY3SojNwKdKn""]","[""Juli"", ""Bresh""]","Juli, Bresh",78,5,,104866,7845,685659,462,9755642,https://kworb.net/spotify/track/5ZliWdrEfiHceXVGnGzlxA.html
2026-07-10,IT,Italy,kworb_spotify_daily,59,-15,3UUqp8cf3sWFSmxw6r0Tqm,I romantici,"[""47z0zz9ZMCn9GBiPRTn5Bc""]","[""Tommaso Paradiso""]",Tommaso Paradiso,136,9,,103946,3116,711202,-7531,22081693,https://kworb.net/spotify/track/3UUqp8cf3sWFSmxw6r0Tqm.html
2026-07-10,IT,Italy,kworb_spotify_daily,60,-19,5LN0gLSxSEaigog3VjCci3,Babyface,"[""2K5nCggbhSZ00YCYP5qkZS"", ""0EUR8jz8L936AEbV2Spkca""]","[""Shiva"", ""Kid Yugi""]","Shiva, Kid Yugi",92,2,(x2),103633,-360,714295,-8282,17658724,https://kworb.net/spotify/track/5LN0gLSxSEaigog3VjCci3.html
2026-07-10,IT,Italy,kworb_spotify_daily,61,-12,45vry78xJDOxCzW6oPbLyN,Cuore rotto,"[""6PsQc21YZU7WNfiODG69Qk""]","[""Tony Boy""]",Tony Boy,36,1,(x1),101394,4910,684070,-6729,5932568,https://kworb.net/spotify/track/45vry78xJDOxCzW6oPbLyN.html
2026-07-10,IT,Italy,kworb_spotify_daily,62,-11,5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,"[""2DaxqgrOhkeH0fpeiQq2f4""]","[""Oasis""]",Oasis,591,37,,100095,5595,628412,14312,12832235,https://kworb.net/spotify/track/5qqabIl2vWzo9ApSC317sa.html
2026-07-10,IT,Italy,kworb_spotify_daily,63,-13,2qf4KviAhT4cNGydUT28Qo,Labirinto,"[""3yiEJ9SByXZMXTwaKdVFN4""]","[""Luchè""]",Luchè,136,3,(x1),99293,3475,641711,3579,25949390,https://kworb.net/spotify/track/2qf4KviAhT4cNGydUT28Qo.html
2026-07-10,IT,Italy,kworb_spotify_daily,64,-1,4TTJpJqCoG1HrXhnNENqAp,Bandito,"[""26toJml6wSdf58ZgNG0ci9"", ""6HQ27YefiitrZ9YsWrgRHX""]","[""Dipinto"", ""Fresh Beatz""]","Dipinto, Fresh Beatz",22,30,,98946,15064,635317,-6547,2249719,https://kworb.net/spotify/track/4TTJpJqCoG1HrXhnNENqAp.html
2026-07-10,IT,Italy,kworb_spotify_daily,65,-19,3l109GEhkVYrTvDoKuNGlu,BERLINO,"[""3fhMfkPPzksWuw0hEm4ldm""]","[""Ernia""]",Ernia,283,13,,98116,652,622337,2777,28641804,https://kworb.net/spotify/track/3l109GEhkVYrTvDoKuNGlu.html
2026-07-10,IT,Italy,kworb_spotify_daily,66,-7,4vTsKN15Kqo3Geo9r7FhAN,Movin' To The Sun,"[""5PlfkPxwCpRRWQJBxCa0By"", ""17yREPqyU875WJnX9U082A"", ""1cK2Abwkni7m51wJCSGllN""]","[""HUGEL"", ""Imael Angel"", ""Ultra Naté""]","HUGEL, Imael Angel, Ultra Naté",17,59,,94842,9837,557841,11094,1172423,https://kworb.net/spotify/track/4vTsKN15Kqo3Geo9r7FhAN.html
2026-07-10,IT,Italy,kworb_spotify_daily,67,-9,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,"[""4q3ewBCX7sLwd24euuV69X""]","[""Bad Bunny""]",Bad Bunny,762,5,,93189,6963,613528,-4122,81885273,https://kworb.net/spotify/track/1IHWl5LamUGEuP4ozKQSXZ.html
2026-07-10,IT,Italy,kworb_spotify_daily,68,-15,1i41RQ2km1sO8JD6fFVCxX,Mayday,"[""2K5nCggbhSZ00YCYP5qkZS"", ""0jdNdfi4vAuVi7a6cPDFBM"", ""23TFHmajVfBtlRx5MXqgoz""]","[""Shiva"", ""Lazza"", ""Sfera Ebbasta""]","Shiva, Lazza, Sfera Ebbasta",92,5,,92291,1789,607754,256,14718525,https://kworb.net/spotify/track/1i41RQ2km1sO8JD6fFVCxX.html
2026-07-10,IT,Italy,kworb_spotify_daily,69,-26,1YaSQXYPqhwtw35Wf3Z0nI,L'Amore Non Mi Basta,"[""0gzwXezN4IUHAwLufA6YcX""]","[""Emma""]",Emma,406,1,(x14),92035,-10132,654709,-9402,36740980,https://kworb.net/spotify/track/1YaSQXYPqhwtw35Wf3Z0nI.html
2026-07-10,IT,Italy,kworb_spotify_daily,70,-18,25idOmfSOCGGdgPhw9iCRm,Ora che non ho più te,"[""396Jr76018oUMR6QBnqT8T""]","[""Cesare Cremonini""]",Cesare Cremonini,655,1,(x7),91391,-1515,662991,-17981,107285251,https://kworb.net/spotify/track/25idOmfSOCGGdgPhw9iCRm.html
2026-07-10,IT,Italy,kworb_spotify_daily,71,+2,4MR5DmTbTZUA9asyyUmJgP,PIENXA EN MI,"[""2LRoIwlKmHjgvigdNGBHNo"", ""23TFHmajVfBtlRx5MXqgoz""]","[""Feid"", ""Sfera Ebbasta""]","Feid, Sfera Ebbasta",29,43,,90573,13551,462882,20806,2205891,https://kworb.net/spotify/track/4MR5DmTbTZUA9asyyUmJgP.html
2026-07-10,IT,Italy,kworb_spotify_daily,72,-11,4rDCRcln8WCHWPRt0YTFLs,MUCHACHA,"[""6RWMnZmXs8Ob715qLr4374"", ""2CCgb0KApjfQDuTppovpf8"", ""3g9MKjIP9xrMTY5Pbwr6Nk""]","[""Aissa"", ""Rvfv"", ""Kreamly""]","Aissa, Rvfv, Kreamly",36,61,,89732,5240,578216,2055,2505163,https://kworb.net/spotify/track/4rDCRcln8WCHWPRt0YTFLs.html
2026-07-10,IT,Italy,kworb_spotify_daily,73,-3,4hFDFmMnSYZ32ssqNUOCjt,Magnetic,"[""7krakxeyEmge6pzTthKNyg""]","[""The Bausa""]",The Bausa,44,65,,88871,8633,553688,4745,2928224,https://kworb.net/spotify/track/4hFDFmMnSYZ32ssqNUOCjt.html
2026-07-10,IT,Italy,kworb_spotify_daily,74,+7,27teXnNekA5jBFLCcsCFoq,7ELEVEN,"[""2R4kNOwHUUsuDYhKsESVbF""]","[""Artie 5ive""]",Artie 5ive,358,7,,88551,15528,525026,10685,39249230,https://kworb.net/spotify/track/27teXnNekA5jBFLCcsCFoq.html
