Id,Netto,Qta,Dim,Lav,Date,Cap,TipoAttivita,idMatrice,idCat,TipoCalc
75,0.0,0.0,0.0,0,2022-03-02,10010,BAR,1,5,T04
76,125.69,84.97,4.0,1,2022-03-03,10010,BAR,1,1,T04
77,374.78,60.92,4.0,1,2022-03-03,10010,BAR,1,2,T04
78,29.97,13.89,4.0,1,2022-03-03,10010,BAR,1,3,T04
79,273.36,41.97,4.0,1,2022-03-03,10010,BAR,1,4,T04
80,0.0,0.0,0.0,0,2022-03-03,10010,BAR,1,5,T04
81,83.26,50.86,5.0,1,2022-03-04,10010,BAR,1,1,T04
82,194.25,58.69,5.0,1,2022-03-04,10010,BAR,1,2,T04
83,57.37,20.26,4.0,1,2022-03-04,10010,BAR,1,3,T04
84,437.06,79.42,5.0,1,2022-03-04,10010,BAR,1,4,T04
85,269.79,50.47,5.0,1,2022-03-04,10010,BAR,1,5,T04
86,131.65,94.68,4.0,1,2022-03-17,10010,BAR,1,1,T04
87,494.79,73.06,5.0,1,2022-03-17,10010,BAR,1,2,T04
88,65.88,19.28,4.0,1,2022-03-17,10010,BAR,1,3,T04
89,395.76,81.14,4.0,1,2022-03-17,10010,BAR,1,4,T04
90,0.0,0.0,0.0,0,2022-03-17,10010,BAR,1,5,T04
91,137.5,82.49,5.0,1,2022-03-18,10010,BAR,1,1,T04
92,311.48,44.59,5.0,1,2022-03-18,10010,BAR,1,2,T04
93,24.04,14.18,5.0,1,2022-03-18,10010,BAR,1,3,T04
94,464.6,76.48,6.0,1,2022-03-18,10010,BAR,1,4,T04
95,238.69,44.77,4.0,1,2022-03-18,10010,BAR,1,5,T04
96,339.85,231.0,5.0,1,2022-03-19,10010,BAR,1,1,T04
97,796.24,146.12,6.0,1,2022-03-19,10010,BAR,1,2,T04
98,105.61,25.86,4.0,1,2022-03-19,10010,BAR,1,3,T04
99,1384.15,237.04,8.0,1,2022-03-19,10010,BAR,1,4,T04
100,451.46,112.45,5.0,1,2022-03-19,10010,BAR,1,5,T04
101,171.99,97.01,4.0,1,2022-03-20,10010,BAR,1,1,T04
102,432.56,95.38,5.0,1,2022-03-20,10010,BAR,1,2,T04
103,100.59,33.69,5.0,1,2022-03-20,10010,BAR,1,3,T04
104,924.21,193.17,6.0,1,2022-03-20,10010,BAR,1,4,T04
105,0.0,0.0,0.0,0,2022-03-20,10010,BAR,1,5,T04
106,191.43,71.66,4.0,1,2022-04-03,10010,BAR,1,1,T04
107,279.63,46.0,5.0,1,2022-04-03,10010,BAR,1,2,T04
108,98.42,29.96,5.0,1,2022-04-03,10010,BAR,1,3,T04
109,744.65,149.6,6.0,1,2022-04-03,10010,BAR,1,4,T04
110,0.0,0.0,0.0,0,2022-04-03,10010,BAR,1,5,T04
111,144.24,75.21,4.0,1,2022-04-04,10010,BAR,1,1,T04
112,285.05,77.18,5.0,1,2022-04-04,10010,BAR,1,2,T04
113,27.84,15.31,3.0,1,2022-04-04,10010,BAR,1,3,T04
114,406.61,59.82,3.0,1,2022-04-04,10010,BAR,1,4,T04
115,0.0,0.0,0.0,0,2022-04-04,10010,BAR,1,5,T04
116,194.83,99.6,3.0,1,2022-04-05,10010,BAR,1,1,T04
117,398.9,75.46,4.0,1,2022-04-05,10010,BAR,1,2,T04
118,30.66,20.52,4.0,1,2022-04-05,10010,BAR,1,3,T04
119,335.54,71.96,4.0,1,2022-04-05,10010,BAR,1,4,T04
120,0.0,0.0,0.0,0,2022-04-05,10010,BAR,1,5,T04
121,180.18,113.0,5.0,1,2022-04-06,10010,BAR,1,1,T04
122,239.12,58.77,5.0,1,2022-04-06,10010,BAR,1,2,T04
123,46.8,17.55,3.0,1,2022-04-06,10010,BAR,1,3,T04
124,133.43,29.43,3.0,1,2022-04-06,10010,BAR,1,4,T04
125,0.0,0.0,0.0,0,2022-04-06,10010,BAR,1,5,T04
126,115.55,63.91,5.0,1,2022-04-20,10010,BAR,1,1,T04
127,483.88,78.94,5.0,1,2022-04-20,10010,BAR,1,2,T04
128,91.62,24.06,3.0,1,2022-04-20,10010,BAR,1,3,T04
129,548.23,92.78,5.0,1,2022-04-20,10010,BAR,1,4,T04
130,0.0,0.0,0.0,0,2022-04-20,10010,BAR,1,5,T04
131,110.14,58.72,5.0,1,2022-04-21,10010,BAR,1,1,T04
132,217.29,47.83,5.0,1,2022-04-21,10010,BAR,1,2,T04
133,20.29,13.75,3.0,1,2022-04-21,10010,BAR,1,3,T04
