chart_date,country,release_cohort_month,chart_tracks,streams,average_rank,average_days_since_release
2026-07-10,IT,2024-11-01,2,173899,79.5,592.0
2026-07-10,IT,2021-02-01,2,208745,103.0,1974.0
2026-07-10,IT,2025-10-01,2,178369,84.5,262.5
2026-07-10,IT,1982-11-01,2,159609,91.5,15928.0
2026-07-10,IT,2018-01-01,2,123630,148.0,3094.0
2026-07-10,IT,2025-02-01,2,204026,101.0,512.0
2026-07-10,IT,2012-01-01,2,181345,104.0,5304.0
2026-07-10,IT,2020-06-01,2,122844,148.5,2216.5
2026-07-10,IT,2016-09-01,2,120135,155.0,3591.0
2026-07-10,IT,2025-08-01,2,199401,69.5,322.0
2026-07-10,IT,2019-03-01,3,217817,105.66666666666667,2662.3333333333335
2026-07-10,IT,2025-07-01,3,237621,90.66666666666667,357.0
2026-07-10,IT,2024-10-01,3,216331,124.33333333333334,623.0
2026-07-10,IT,2023-11-01,3,185074,149.33333333333334,966.0
2026-07-10,IT,2025-05-01,3,189258,140.0,429.6666666666667
2026-07-10,IT,2024-12-01,3,190071,150.33333333333334,575.0
2026-07-10,IT,2025-06-01,3,208357,114.66666666666667,394.6666666666667
2026-07-10,IT,2025-03-01,4,414309,83.0,469.0
2026-07-10,IT,2025-09-01,4,309450,110.25,292.75
2026-07-10,IT,2025-01-01,5,511839,70.2,551.0
2026-07-10,IT,2024-06-01,6,397836,134.5,757.3333333333334
2026-07-10,IT,2025-04-01,7,578900,104.71428571428571,452.42857142857144
2026-07-10,IT,2026-03-01,8,867495,95.375,115.62500000000001
2026-07-10,IT,2026-02-01,12,1218815,88.16666666666667,138.33333333333331
2026-07-10,IT,2026-07-01,14,2842324,26.642857142857142,1.1428571428571428
2026-07-10,IT,2026-01-01,14,1522382,84.71428571428572,174.00000000000003
2026-07-10,IT,2026-05-01,15,1966478,79.2,54.46666666666666
2026-07-10,IT,2026-04-01,15,1694257,77.53333333333332,87.6
2026-07-10,IT,2026-06-01,16,1825140,85.6875,27.749999999999996
2026-07-06,IT,2023-07-01,1,46718,193.0,1095.0
2026-07-06,IT,2020-09-01,1,61576,104.0,2110.0
2026-07-06,IT,2021-10-01,1,59749,113.0,1718.0
2026-07-06,IT,2022-09-01,1,62237,101.0,1389.0
2026-07-06,IT,2018-06-01,1,46683,194.0,2929.0
2026-07-06,IT,2005-11-01,1,52084,151.0,7525.0
2026-07-06,IT,2019-09-01,1,46908,192.0,2488.0
2026-07-06,IT,2024-09-01,1,64167,93.0,661.0
2026-07-06,IT,2016-01-01,1,56920,123.0,3818.0
2026-07-06,IT,2024-05-01,1,79600,64.0,780.0
2026-07-06,IT,2014-08-01,1,57950,121.0,4353.0
2026-07-06,IT,2018-10-01,1,68649,82.0,2820.0
2026-07-06,IT,2013-06-01,1,57960,120.0,4780.0
2026-07-06,IT,2018-01-01,1,49436,169.0,3090.0
2026-07-06,IT,2016-04-01,1,50336,160.0,3727.0
2026-07-06,IT,1993-01-01,1,61966,103.0,12239.0
2026-07-06,IT,2022-07-01,1,46960,190.0,1461.0
2026-07-06,IT,2016-09-01,1,50010,164.0,3587.0
2026-07-06,IT,2022-06-01,1,65318,91.0,1494.0
2026-07-06,IT,2017-11-01,1,47471,187.0,3146.0
2026-07-06,IT,2017-10-01,1,83172,55.0,3195.0
2026-07-06,IT,2024-02-01,1,47705,186.0,885.0
2026-07-06,IT,2023-05-01,1,48886,176.0,1144.0
2026-07-06,IT,2017-03-01,1,49261,171.0,3398.0
2026-07-06,IT,1999-01-01,1,50198,161.0,10048.0
2026-07-06,IT,2018-11-01,1,48505,179.0,2775.0
2026-07-06,IT,1992-01-01,1,47924,184.0,12605.0
2026-07-06,IT,2011-12-01,1,48981,174.0,5313.0
2026-07-06,IT,2016-10-01,1,47342,189.0,3545.0
2026-07-06,IT,2011-04-01,1,64021,94.0,5547.0
2026-07-06,IT,1996-06-01,1,50750,157.0,10992.0
2026-07-06,IT,2009-05-01,1,46390,198.0,6254.0
2026-07-06,IT,2012-10-01,1,53707,140.0,5018.0
2026-07-06,IT,2013-01-01,1,87290,50.0,4934.0
2026-07-06,IT,2023-06-01,1,48248,181.0,1130.0
2026-07-06,IT,2005-05-01,1,49074,173.0,7710.0
2026-07-06,IT,1983-06-01,1,54685,136.0,15725.0
2026-07-06,IT,2018-02-01,1,79073,65.0,3069.0
2026-07-06,IT,2000-10-01,1,47356,188.0,9386.0
2026-07-06,IT,2022-05-01,1,81712,60.0,1522.0
2026-07-06,IT,2025-11-01,1,103188,36.0,241.0
2026-07-06,IT,2023-02-01,2,121272,109.0,1238.5
2026-07-06,IT,2019-04-01,2,127104,102.0,2649.0
2026-07-06,IT,2025-10-01,2,152755,79.5,258.5
2026-07-06,IT,2023-11-01,2,98889,170.5,962.0
2026-07-06,IT,2020-06-01,2,100678,164.0,2212.5
2026-07-06,IT,2021-02-01,2,165224,91.0,1970.0
2026-07-06,IT,2025-02-01,2,183766,65.5,508.0
2026-07-06,IT,2024-12-01,2,120805,114.0,568.0
2026-07-06,IT,1998-01-01,2,108214,150.0,10413.0
2026-07-06,IT,1982-11-01,2,150850,71.0,15924.0
2026-07-06,IT,2017-05-01,2,126474,130.0,3349.0
2026-07-06,IT,1995-01-01,2,142988,98.0,11509.0
2026-07-06,IT,2012-01-01,2,162749,88.0,5300.0
2026-07-06,IT,2025-06-01,3,169476,130.66666666666666,390.6666666666667
2026-07-06,IT,2025-08-01,3,232572,86.66666666666667,318.0
2026-07-06,IT,2024-10-01,3,202594,94.0,619.0
2026-07-06,IT,2025-07-01,3,192063,99.66666666666667,353.0
2026-07-06,IT,2024-11-01,3,208436,104.0,587.6666666666666
2026-07-06,IT,2019-03-01,3,203472,90.33333333333333,2658.3333333333335
2026-07-06,IT,2025-03-01,4,331618,93.25,465.0
2026-07-06,IT,2025-05-01,4,219555,136.0,417.75
2026-07-06,IT,2025-01-01,5,438176,62.6,547.0
2026-07-06,IT,2025-04-01,5,402460,67.2,447.2
2026-07-06,IT,2025-09-01,5,318890,117.2,287.6
2026-07-06,IT,2024-06-01,7,413737,129.85714285714286,751.1428571428572
2026-07-06,IT,2026-03-01,8,755488,83.0,111.62500000000001
2026-07-06,IT,2026-02-01,13,1109874,86.76923076923076,134.07692307692307
2026-07-06,IT,2026-05-01,14,1700012,59.142857142857146,50.78571428571429
2026-07-06,IT,2026-04-01,15,1534001,59.4,83.60000000000001
2026-07-06,IT,2026-01-01,16,1471881,87.6875,168.375
2026-07-06,IT,2026-06-01,19,1642924,93.4736842105263,22.736842105263158
2026-07-15,IT,2012-12-01,1,68115,85.0,4968.0
2026-07-15,IT,2012-10-01,1,53711,142.0,5027.0
2026-07-15,IT,2025-11-01,1,110726,32.0,250.0
2026-07-15,IT,2013-06-01,1,50310,163.0,4789.0
2026-07-15,IT,2013-01-01,1,82038,63.0,4943.0
2026-07-15,IT,2011-04-01,1,61966,102.0,5556.0
2026-07-15,IT,1999-01-01,1,59730,110.0,10057.0
2026-07-15,IT,2010-05-01,1,46965,190.0,5909.0
2026-07-15,IT,2023-06-01,1,47944,182.0,1132.0
2026-07-15,IT,2017-03-01,1,46608,195.0,3407.0
2026-07-15,IT,2022-07-01,1,48205,177.0,1470.0
2026-07-15,IT,2023-05-01,1,49206,172.0,1153.0
2026-07-15,IT,2016-04-01,1,46607,196.0,3736.0
2026-07-15,IT,1993-01-01,1,62093,101.0,12248.0
2026-07-15,IT,2024-09-01,1,58337,116.0,670.0
2026-07-15,IT,2017-10-01,1,63039,99.0,3204.0
2026-07-15,IT,2023-02-01,1,52531,151.0,1251.0
2026-07-15,IT,2018-11-01,1,47276,188.0,2784.0
2026-07-15,IT,2005-05-01,1,50946,160.0,7719.0
2026-07-15,IT,2024-05-01,1,59168,113.0,789.0
2026-07-15,IT,2024-02-01,1,55038,131.0,894.0
2026-07-15,IT,2019-10-01,1,46936,191.0,2449.0
2026-07-15,IT,2020-10-01,1,50596,162.0,2084.0
2026-07-15,IT,2018-02-01,1,54698,135.0,3078.0
2026-07-15,IT,2020-09-01,1,56652,122.0,2119.0
2026-07-15,IT,2014-08-01,1,61385,104.0,4362.0
2026-07-15,IT,2016-01-01,1,60248,109.0,3827.0
